2022-01-17 11:08:40 [com.xxl.job.core.thread.JobThread#run]-[130]-[Thread-19] <br>----------- xxl-job job execute start -----------<br>----------- Param:
2022-01-17 11:08:40 [com.xxl.job.core.thread.JobThread#run]-[176]-[Thread-19] <br>----------- xxl-job job execute end(finish) -----------<br>----------- Result: handleCode=200, handleMsg = null
2022-01-17 11:08:40 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[xxl-job, executor TriggerCallbackThread] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 11:08:42 [com.xxl.job.core.thread.JobThread#run]-[191]-[Thread-19] <br>----------- JobThread toStop, stopReason:web container destroy and kill the job.
2022-01-17 11:08:42 [com.xxl.job.core.thread.JobThread#run]-[201]-[Thread-19] <br>----------- JobThread Exception:java.lang.InterruptedException
	at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.reportInterruptAfterWait(AbstractQueuedSynchronizer.java:2019)
	at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(AbstractQueuedSynchronizer.java:2093)
	at java.util.concurrent.LinkedBlockingQueue.poll(LinkedBlockingQueue.java:467)
	at com.xxl.job.core.thread.JobThread.run(JobThread.java:111)
<br>----------- xxl-job job execute end(error) -----------
2022-01-17 12:02:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:03:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:03:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:04:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:04:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:05:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:05:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:06:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:06:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:07:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:07:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:08:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:08:51 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:09:21 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-12] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:09:50 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-11] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:10:20 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-11] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
2022-01-17 12:10:50 [com.xxl.job.core.thread.TriggerCallbackThread#callbackLog]-[197]-[Thread-11] <br>----------- xxl-job job callback fail, callbackResult:ReturnT [code=500, msg=xxl-rpc remoting error(Connection refused (Connection refused)), for url : http://127.0.0.1:8082/heima-job-admin/api/callback, content=null]
